ID_Sale;Value
768805383;777
818770008;864
713982108;0
769911858;2517
709106358;0
713061558;1247
810347208;2264
818906208;1396
710930508;2517
719661558;1677
708790833;1467
710821833;1587
710599683;0
816082233;1666
712396908;680
714885258;972
709967358;2362
753327333;1291
806160108;2517
709327383;1157
806165208;1800
708508758;0
784725333;680
811604133;1560
789124683;0
771071958;1669
720466383;1374
804424383;1010
718813833;0
806624208;1362
778348233;1811
712991808;1690
709029408;2517
788658483;1490
787937058;1696
715318008;1914
713962233;2298
785432733;0
715190283;886
708300483;605
827111283;578
758551608;2204
773146383;2517
778493808;0
720572508;2055
712661433;0
789172683;1430
738406533;2020
799723908;1435
771490833;1227
720756708;1549
779471883;808
711525033;2179
712813458;2517
714374133;0
717891558;2200
716632758;2363
768563658;1880
711427458;978
714091983;1753
787584108;2016
712030833;0
711481533;1251
710082708;2102
708155733;1634
788979258;1515
807986133;1817
788730933;1468
711314058;1107
717975333;1330
715971108;1763
720096558;1034
719580033;2030
820582308;1528
789973308;1932
712876233;1515
804595158;2517
714826758;1801
779058108;1823
710790258;1899
715623483;1695
715156383;1533
711013983;0
755420433;1417
794543958;1219
716396358;1910
715398033;2056
711743883;0
719720058;837
778992108;0
717539808;0
714070758;1953
714107958;0
789140283;2037
715550508;2440
719712633;895
772629333;1200
720336708;1706
802013583;2250
711887583;1628
714778833;1960
713843283;2053
779155158;1264
721091583;1879
713572683;0
716657058;926
779509983;931
717929133;2440
808284783;0
708476808;1960
710916408;1886
708492558;865
799825758;1674
718619883;706
711844758;1294
714798783;895
826762908;1273
771894558;1559
721074183;1196
715259583;1901
718414008;1023
719666283;1951
714877233;1836
785387883;1540
771075258;1527
711318033;0
783554958;0
720201033;2227
718039683;1300
710806083;2090
714752208;1985
822063408;2517
714490308;1662
713356833;2517
711402333;797
708296883;788
719154483;2100
717721458;1186
711112683;1568
715674483;2517
789322833;0
789968058;2327
709919283;2517
718744008;1128
767712558;0
712950783;0
716104983;2117
818839983;1536
772288758;1228
712350858;1104
711009708;0
712720158;1652
712215258;0
773827008;1540
795232683;930
713786508;0
713539833;0
712454058;618
718759833;0
718803333;1954
720253908;1024
714133158;1305
713187033;2071
714791208;2114
772426383;1570
710975883;1761
714264408;746
715827858;2173
713741358;2517
709531908;0
716493408;1719
714141108;893
708953883;0
712608783;1260
820353558;1434
714964758;1777
716264358;1836
717296808;2517
712977183;1072
710829108;985
779562633;2248
715315833;2107
815500983;2001
719360583;1701
709701558;1251
721148358;0
779862408;462
812627208;738
711033408;1626
779956608;0
780376683;1976
717912483;0
714454758;1594
780466533;1676
715735233;1598
720476733;799
715872333;1998
712375758;1423
708868233;900
718030083;1687
720707283;866
771698658;2006
748326258;1632
770817783;1679
779353083;1468
711441333;1580
719808558;0
711551958;0
809164083;1779
820596183;2395
715999608;1649
710565408;1359
805543158;2207
709752183;2517
716479233;1721
713837058;1955
718876683;1168
770746908;2509
794843883;1202
803043933;1835
758076408;1603
714606558;1272
778425408;2295
714171108;1141
719662458;679
713137233;1789
769425858;0
711297483;2222
788900883;1304
758348808;1666
772336458;1025
708711483;1740
717906783;1748
719437908;1644
769433508;1819
790096533;1301
720997383;1833
787541883;0
709930758;1222
789830058;1585
710299608;2517
710741208;1475
821797008;0
708874533;0
715341858;1289
793636308;1650
713779908;1666
712125258;0
709703433;1532
721022433;2480
710103558;1486
715952883;1125
719731458;709
772390908;1054
787348608;1495
709485033;1152
715432608;953
799471833;1510
714187533;849
779656908;1378
788950158;1652
778867533;0
710620383;1171
778661358;2143
789483333;795
809855808;1650
718464258;1082
708528483;2430
771809733;0
719942883;1434
807226683;1115
717806133;0
720615708;0
714511758;1029
715050408;1576
721132233;1769
719211558;0
712069008;1007
715996983;2481
773466258;1100
798983508;1440
719117433;2168
716451183;1711
718621608;0
715085733;1999
788977833;1274
720272958;0
708421833;2517
709173108;2221
709879458;1376
715120608;1703
770632758;1608
779078733;1682
771742533;1718
720250158;1814
716458983;837
713747733;2217
712270158;1250
789562383;583
754897008;1418
819700533;2303
712890408;1343
720248208;1577
779749908;2061
717401883;1130
721509558;1707
710572458;0
714576183;2030
721425558;0
711109908;2475
715203108;930
710027508;1047
787464408;0
783542133;2223
708330858;1381
714426783;2154
712701333;2169
709494483;1912
773373108;2070
715812258;1539
778286433;1297
789270033;0
711569433;1926
720214833;2177
709346133;2376
788194458;2517
720779733;1355
717424458;1823
708820308;2505
710558058;2517
770590758;1069
718490658;2242
711985833;1605
708967608;1785
718505958;1699
715024233;1844
779249583;2462
709278258;2517
778928283;2321
712299858;1571
799224108;1942
809976033;1560
716203308;1692
714871683;537
716139933;1710
716984658;0
713086008;2439
713773458;1173
719242533;2517
772712658;1648
788868858;2517
811898133;2117
788808633;1090
779804208;0
781391058;1375
790134408;755
788853258;1503
711857733;2517
822969858;1465
719554758;2165
711643458;0
788830683;2031
807030858;2274
793059108;1440
716568708;0
828281733;848
717229158;969
715915458;1644
819129858;1270
713441958;1785
719091333;793
708666258;1799
714914583;1521
714363858;1411
721347408;1403
809608533;1586
772047183;1766
714217908;1560
714819183;1955
716455683;726
710865633;2250
752952108;1818
712595433;1794
714982383;2381
